City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,remire-montjoly,4.9167,-52.2667,25.02,94,20,1.54,GF,1684631346
83,whitehorse,60.7161,-135.0538,18.94,31,93,4.92,CA,1684631346
84,happy valley-goose bay,53.3168,-60.3315,12.79,45,49,4.36,CA,1684631346
85,cockburn town,21.4612,-71.1419,26.32,80,100,9.97,TC,1684631346
86,mount gambier,-37.8333,140.7667,13.83,57,66,4.43,AU,1684631346
87,codrington,-38.2667,141.9667,13.24,60,100,6.16,AU,1684631346
88,port lincoln,-34.7333,135.8667,14.98,72,100,4.47,AU,1684631346
89,parfino,57.9731,31.6481,6.25,84,71,2.02,RU,1684631346
90,aswan,24.0934,32.907,25.27,21,28,4.78,EG,1684631346
91,cambridge,43.3601,-80.3127,11.63,88,100,6.69,CA,1684631050
92,carauari,-4.8828,-66.8958,26.52,80,100,0.98,BR,1684631346
93,roma,43.2128,-75.4557,15.53,95,100,2.06,US,1684631346
94,villa madero,19.4,-101.2667,19.39,53,49,1.28,MX,1684631346
95,stanley,54.868,-1.6985,10.43,80,0,1.54,GB,1684631347
96,sao vicente,-23.9631,-46.3919,21.1,26,20,1.85,BR,1684631135
97,port saint john's,-31.6229,29.5448,15.07,72,5,2.98,ZA,1684631347
98,santa pola,38.1917,-0.5658,16.94,82,0,0.0,ES,1684631347
99,bridgewater,44.3835,-64.5155,12.84,88,100,4.63,CA,1684631068
100,haiku-pauwela,20.9219,-156.3051,29.01,65,40,7.72,US,1684631347
101,sarupathar,26.1984,93.8094,24.02,86,29,1.75,IN,1684631347
102,inari,68.906,27.0288,9.11,73,100,1.58,FI,1684631347
103,kahramanmaras,38.0,37.0,9.71,76,12,0.98,TR,1684631347
104,port macquarie,-31.4333,152.9167,18.27,38,59,5.82,AU,1684631208
105,gisborne,-38.6533,178.0042,17.54,54,0,5.28,NZ,1684631327
106,coquimbo,-29.9533,-71.3436,14.85,88,100,2.06,CL,1684631347
107,petropavlovsk-kamchatsky,53.0452,158.6483,4.32,87,75,2.0,RU,1684631347
108,olonkinbyen,70.9221,-8.7187,1.93,86,99,9.61,SJ,1684631347
109,buncrana,55.1333,-7.45,11.27,99,100,2.42,IE,1684631347
110,alofi,-19.0595,-169.9187,26.3,85,4,4.96,NU,1684631347
